location,checkout,dairy,drinks,fruit,spices
checkout,1.0,0.0,0.0,0.0,0.0
dairy,0.10204306404537695,0.7405143455036071,0.05666611597554931,0.05005782256732199,0.05071865190814472
drinks,0.21755644650770203,0.011394809031441232,0.5951677569107406,0.08894281493986073,0.08693817261025533
entrance,0.0,0.29397590361445786,0.15087014725568942,0.37349397590361444,0.18165997322623828
fruit,0.2041999686569503,0.09254035417646136,0.052264535339288515,0.5999059708509638,0.051089170976335994
spices,0.14942528735632185,0.19319792158715163,0.15965989607935757,0.08880491261218705,0.4089119823649819
